Index,Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days,Code,Expansion_code,Number_code
132,Crobat V,Lost-Origin,3.2,246,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Crobat-V-LORTG20,"9TH SEPTEMBER, 2022",,"8,12 €","8,33 €","6,50 €",LOR TG20,LOR,TG20
133,Boss's Orders,Lost-Origin,3.0,301,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Bosss-Orders-LORTG24,"9TH SEPTEMBER, 2022",885.0,"5,01 €","4,50 €","4,87 €",LOR TG24,LOR,TG24
134,Kabu,Lost-Origin,1.0,414,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Kabu-LORTG26,"9TH SEPTEMBER, 2022",0.0,"2,06 €","1,74 €","1,98 €",LOR TG26,LOR,TG26
135,Centiskorch V,Lost-Origin,2.0,352,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Centiskorch-V-LORTG14,"9TH SEPTEMBER, 2022",,"4,70 €","4,84 €","4,31 €",LOR TG14,LOR,TG14
140,Giratina VSTAR,Lost-Origin,7.5,317,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-VSTAR-V3-LOR212,"9TH SEPTEMBER, 2022",,"14,28 €","13,91 €","13,84 €",LOR 212,LOR,212
141,Adventurer's Discovery,Lost-Origin,1.4,421,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Adventurers-Discovery-LORTG23,"9TH SEPTEMBER, 2022",0.0,"2,69 €","1,79 €","2,83 €",LOR TG23,LOR,TG23
150,Orbeetle VMAX,Lost-Origin,3.99,341,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Orbeetle-VMAX-LORTG13,"9TH SEPTEMBER, 2022",,"5,26 €","5,43 €","5,50 €",LOR TG13,LOR,TG13
154,Orbeetle V,Lost-Origin,2.0,361,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Orbeetle-V-LORTG12,"9TH SEPTEMBER, 2022",,"3,80 €","3,70 €","4,01 €",LOR TG12,LOR,TG12
157,Volo,Lost-Origin,1.3,369,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Volo-V2-LOR196,"9TH SEPTEMBER, 2022",0.0,"2,21 €","2,43 €","2,08 €",LOR 196,LOR,196
159,Delphox V,Lost-Origin,1.7,369,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Delphox-V-V2-LOR173,"9TH SEPTEMBER, 2022",11.0,"2,67 €","2,56 €","2,65 €",LOR 173,LOR,173
160,Lost Vacuum,Lost-Origin,1.49,325,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lost-Vacuum-V2-LOR217,"9TH SEPTEMBER, 2022",,"5,76 €","7,30 €","5,66 €",LOR 217,LOR,217
161,Eternatus VMAX,Lost-Origin,5.89,266,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Eternatus-VMAX-LORTG22,"9TH SEPTEMBER, 2022",,"8,62 €","8,45 €","8,20 €",LOR TG22,LOR,TG22
165,Opal,Lost-Origin,0.95,385,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Opal-LORTG28,"9TH SEPTEMBER, 2022",0.0,"1,88 €","1,59 €","1,88 €",LOR TG28,LOR,TG28
167,Iscan,Lost-Origin,0.8,479,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Iscan-V2-LOR192,"9TH SEPTEMBER, 2022",0.0,"1,58 €","1,60 €","1,53 €",LOR 192,LOR,192
168,Lady,Lost-Origin,1.97,379,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lady-V2-LOR193,"9TH SEPTEMBER, 2022",0.0,"3,82 €","4,08 €","3,60 €",LOR 193,LOR,193
173,Kyurem V,Lost-Origin,1.0,320,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Kyurem-V-V2-LOR174,"9TH SEPTEMBER, 2022",0.0,"3,56 €","3,43 €","2,99 €",LOR 174,LOR,174
174,Miss Fortune Sisters,Lost-Origin,2.49,279,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Miss-Fortune-Sisters-V2-LOR194,"9TH SEPTEMBER, 2022",52.0,"4,32 €","4,13 €","4,47 €",LOR 194,LOR,194
179,Rotom V,Lost-Origin,4.8,178,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Rotom-V-V2-LOR176,"9TH SEPTEMBER, 2022",193.0,"6,62 €","6,54 €","6,41 €",LOR 176,LOR,176
185,Fantina,Lost-Origin,1.5,344,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Fantina-V2-LOR191,"9TH SEPTEMBER, 2022",0.0,"2,81 €","2,80 €","2,47 €",LOR 191,LOR,191
187,Aerodactyl V,Lost-Origin,1.49,373,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Aerodactyl-V-V2-LOR178,"9TH SEPTEMBER, 2022",1.0,"2,79 €","2,92 €","2,78 €",LOR 179,LOR,179
191,Hisuian Electrode V,Lost-Origin,0.5,304,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Electrode-V-V2-LOR172,"9TH SEPTEMBER, 2022",51.0,"2,69 €","2,74 €","2,39 €",LOR 172,LOR,172
194,Collapsed Stadium,Lost-Origin,4.2,237,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Collapsed-Stadium-LOR215,"9TH SEPTEMBER, 2022",,"6,66 €","5,50 €","5,40 €",LOR 215,LOR,215
195,Dark Patch,Lost-Origin,3.99,303,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Dark-Patch-LOR216,"9TH SEPTEMBER, 2022",,"6,52 €","8,37 €","6,34 €",LOR 216,LOR,216
196,Hisuian Goodra V,Lost-Origin,1.35,388,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Goodra-V-V2-LOR187,"9TH SEPTEMBER, 2022",0.0,"2,26 €","2,11 €","2,21 €",LOR 187,LOR,187
200,Galarian Perrserker V,Lost-Origin,0.5,448,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Galarian-Perrserker-V-V2-LOR183,"9TH SEPTEMBER, 2022",0.0,"2,15 €","2,04 €","2,01 €",LOR 183,LOR,183
208,Magnezone V,Lost-Origin,1.0,412,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Magnezone-V-V2-LOR175,"9TH SEPTEMBER, 2022",0.0,"1,84 €","1,92 €","2,17 €",LOR 175,LOR,175
209,Gallade V,Lost-Origin,1.0,389,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gallade-V-V1-LOR180,"9TH SEPTEMBER, 2022",0.0,"1,93 €","2,12 €","2,34 €",LOR 181,LOR,181
210,Box of Disaster,Lost-Origin,1.5,436,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Box-of-Disaster-V2-LOR214,"9TH SEPTEMBER, 2022",,"3,18 €","2,65 €","2,44 €",LOR 214,LOR,214
