Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
Falinks (LOR 110),Lost-Origin,"0,02 €",12969,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Falinks-LOR110,"9TH SEPTEMBER, 2022",,,,
Pikachu VMAX (LOR TG29),Lost-Origin,"5,00 €",577,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-VMAX-V2-LORTG29,"9TH SEPTEMBER, 2022",,"7,76 €","7,95 €","7,23 €"
Murkrow (LOR 114),Lost-Origin,"0,02 €",13357,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Murkrow-LOR114,"9TH SEPTEMBER, 2022",,,,
Banette (LOR 073),Lost-Origin,"0,02 €",4230,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Banette-V1-LOR073,"9TH SEPTEMBER, 2022",,,,
Bronzor (LOR 125),Lost-Origin,"0,02 €",13167,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Bronzor-LOR125,"9TH SEPTEMBER, 2022",,,,
Poliwag (LOR 030),Lost-Origin,"0,02 €",13818,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Poliwag-LOR030,"9TH SEPTEMBER, 2022",,,,
Mew VMAX (LOR TG30),Lost-Origin,"4,99 €",488,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mew-VMAX-LORTG30,"9TH SEPTEMBER, 2022",,"6,74 €","6,84 €","7,00 €"
Wurmple (LOR 006),Lost-Origin,"0,02 €",15123,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Wurmple-LOR006,"9TH SEPTEMBER, 2022",,,,
Horsea (LOR 035),Lost-Origin,"0,02 €",14866,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Horsea-LOR035,"9TH SEPTEMBER, 2022",,,,
Ducklett (LOR 046),Lost-Origin,"0,02 €",14095,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Ducklett-LOR046,"9TH SEPTEMBER, 2022",,,,
