Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
Castform Sunny Form (SSP 195),Surging-Sparks,"4,40 €",283,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Castform-Sunny-Form-V2-SSP195,"8TH NOVEMBER, 2024",,,,
Cyclizar ex (SSP 228),Surging-Sparks,"1,50 €",359,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Cyclizar-ex-V2-SSP228,"8TH NOVEMBER, 2024",0.0,"2,78 €","3,15 €","3,42 €"
Cyrano (SSP 230),Surging-Sparks,"0,88 €",376,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Cyrano-V2-SSP230,"8TH NOVEMBER, 2024",3.0,"2,26 €","2,06 €","2,21 €"
Braviary (SSP 153),Surging-Sparks,"0,02 €",3472,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Braviary-V1-SSP153,"8TH NOVEMBER, 2024",,,,
Babiri Berry (SSP 163),Surging-Sparks,"0,02 €",3896,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Babiri-Berry-SSP163,"8TH NOVEMBER, 2024",,,,
Wo-Chien (SSP 015),Surging-Sparks,"0,02 €",3849,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Wo-Chien-SSP015,"8TH NOVEMBER, 2024",,,,
Surfer (SSP 235),Surging-Sparks,"0,99 €",399,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Surfer-V2-SSP235,"8TH NOVEMBER, 2024",3.0,"2,23 €","2,28 €","1,90 €"
Latios (SSP 077),Surging-Sparks,"0,02 €",3281,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Latios-V1-SSP077,"8TH NOVEMBER, 2024",,,,
Passimian (SSP 111),Surging-Sparks,"0,02 €",3373,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Passimian-SSP111,"8TH NOVEMBER, 2024",,,,
Grafaiai (SSP 121),Surging-Sparks,"0,02 €",3377,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Grafaiai-SSP121,"8TH NOVEMBER, 2024",,,,
Centiskorch (SSP 028),Surging-Sparks,"0,02 €",3324,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Centiskorch-SSP028,"8TH NOVEMBER, 2024",,,,
Espathra (SSP 095),Surging-Sparks,"0,02 €",3489,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Espathra-SSP095,"8TH NOVEMBER, 2024",,,,
Kilowattrel (SSP 067),Surging-Sparks,"0,02 €",3512,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Kilowattrel-SSP067,"8TH NOVEMBER, 2024",,,,
Drasna (SSP 231),Surging-Sparks,"1,10 €",398,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Drasna-V2-SSP231,"8TH NOVEMBER, 2024",0.0,"2,88 €","2,34 €","2,38 €"
Walrein (SSP 045),Surging-Sparks,"0,02 €",3436,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Walrein-SSP045,"8TH NOVEMBER, 2024",,,,
Registeel (SSP 125),Surging-Sparks,"0,02 €",3287,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Registeel-SSP125,"8TH NOVEMBER, 2024",,,,
Clemont's Quick Wit (SSP 229),Surging-Sparks,"1,09 €",397,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Clemonts-Quick-Wit-V2-SSP229,"8TH NOVEMBER, 2024",0.0,"2,64 €","2,36 €","2,49 €"
Snorlax (SSP 144),Surging-Sparks,"0,02 €",2869,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Snorlax-SSP144,"8TH NOVEMBER, 2024",,,,
Indeedee (SSP 093),Surging-Sparks,"0,02 €",3426,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Indeedee-SSP093,"8TH NOVEMBER, 2024",,,,
Appletun (SSP 140),Surging-Sparks,"0,02 €",3470,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Appletun-V1-SSP140,"8TH NOVEMBER, 2024",,,,
Jasmine's Gaze (SSP 233),Surging-Sparks,"2,00 €",374,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Jasmines-Gaze-V2-SSP233,"8TH NOVEMBER, 2024",0.0,"3,98 €","3,72 €","3,85 €"
Turtonator (SSP 137),Surging-Sparks,"0,02 €",3388,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Turtonator-SSP137,"8TH NOVEMBER, 2024",,,,
Exeggcute (SSP 002),Surging-Sparks,"0,02 €",2388,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Exeggcute-SSP002,"8TH NOVEMBER, 2024",,,,
Charcadet (SSP 033),Surging-Sparks,"0,02 €",3100,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Charcadet-SSP033,"8TH NOVEMBER, 2024",,,,
Vigoroth (SSP 146),Surging-Sparks,"0,02 €",2382,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Vigoroth-SSP146,"8TH NOVEMBER, 2024",,,,
Bruxish (SSP 049),Surging-Sparks,"0,02 €",3422,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Bruxish-V1-SSP049,"8TH NOVEMBER, 2024",,,,
Cetoddle (SSP 053),Surging-Sparks,"0,02 €",3226,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Cetoddle-SSP053,"8TH NOVEMBER, 2024",,,,
Altaria (SSP 134),Surging-Sparks,"0,02 €",3309,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Altaria-SSP134,"8TH NOVEMBER, 2024",,,,
Zebstrika (SSP 063),Surging-Sparks,"0,02 €",3231,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Zebstrika-SSP063,"8TH NOVEMBER, 2024",,,,
Spewpa (SSP 006),Surging-Sparks,"0,02 €",3236,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Spewpa-SSP006,"8TH NOVEMBER, 2024",,,,
Tyme (SSP 190),Surging-Sparks,"0,02 €",1980,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Tyme-SSP190,"8TH NOVEMBER, 2024",,,,
Dedenne (SSP 087),Surging-Sparks,"0,02 €",3123,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Dedenne-SSP087,"8TH NOVEMBER, 2024",,,,
Clobbopus (SSP 207),Surging-Sparks,"2,50 €",365,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Clobbopus-V2-SSP207,"8TH NOVEMBER, 2024",,,,
Kecleon (SSP 150),Surging-Sparks,"0,02 €",3080,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Kecleon-V1-SSP150,"8TH NOVEMBER, 2024",,,,
Mantine (SSP 040),Surging-Sparks,"0,02 €",2360,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Mantine-SSP040,"8TH NOVEMBER, 2024",,,,
Quaxwell (SSP 051),Surging-Sparks,"0,02 €",3817,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Quaxwell-SSP051,"8TH NOVEMBER, 2024",,,,
Flittle (SSP 094),Surging-Sparks,"0,02 €",3250,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Flittle-SSP094,"8TH NOVEMBER, 2024",,,,
Grapploct (SSP 113),Surging-Sparks,"0,02 €",3175,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Grapploct-SSP113,"8TH NOVEMBER, 2024",,,,
Heliolisk (SSP 155),Surging-Sparks,"0,02 €",2314,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Heliolisk-SSP155,"8TH NOVEMBER, 2024",,,,
Oricorio (SSP 089),Surging-Sparks,"0,02 €",3114,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Oricorio-SSP089,"8TH NOVEMBER, 2024",,,,
Applin (SSP 138),Surging-Sparks,"0,02 €",3170,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Applin-SSP138,"8TH NOVEMBER, 2024",,,,
Glimmora (SSP 115),Surging-Sparks,"0,02 €",3107,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Glimmora-SSP115,"8TH NOVEMBER, 2024",,,,
Skarmory (SSP 124),Surging-Sparks,"0,02 €",3121,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Skarmory-V1-SSP124,"8TH NOVEMBER, 2024",,,,
Night Stretcher (SSP 251),Surging-Sparks,"16,00 €",100,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Night-Stretcher-SSP251,"8TH NOVEMBER, 2024",,"19,63 €","21,22 €","20,48 €"
Vulpix (SSP 016),Surging-Sparks,"0,02 €",3058,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Vulpix-SSP016,"8TH NOVEMBER, 2024",,,,
Volcarona (SSP 025),Surging-Sparks,"0,02 €",3278,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Volcarona-SSP025,"8TH NOVEMBER, 2024",,,,
Bouffalant (SSP 151),Surging-Sparks,"0,02 €",2446,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Bouffalant-SSP151,"8TH NOVEMBER, 2024",,,,
Crocalor (SSP 030),Surging-Sparks,"0,02 €",3180,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Crocalor-SSP030,"8TH NOVEMBER, 2024",,,,
Sigilyph (SSP 081),Surging-Sparks,"0,02 €",2341,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Sigilyph-SSP081,"8TH NOVEMBER, 2024",,,,
Donphan (SSP 103),Surging-Sparks,"0,02 €",3182,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Donphan-SSP103,"8TH NOVEMBER, 2024",,,,
Oranguru (SSP 156),Surging-Sparks,"0,02 €",3174,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Oranguru-SSP156,"8TH NOVEMBER, 2024",,,,
Primeape (SSP 099),Surging-Sparks,"0,02 €",2991,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Primeape-SSP099,"8TH NOVEMBER, 2024",,,,
Phanpy (SSP 102),Surging-Sparks,"0,02 €",3108,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Phanpy-V1-SSP102,"8TH NOVEMBER, 2024",,,,
Dhelmise (SSP 010),Surging-Sparks,"0,02 €",3230,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Dhelmise-SSP010,"8TH NOVEMBER, 2024",,,,
Castform Sunny Form (SSP 020),Surging-Sparks,"0,02 €",3208,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Castform-Sunny-Form-V1-SSP020,"8TH NOVEMBER, 2024",,,,
Pansear (SSP 022),Surging-Sparks,"0,02 €",3234,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Pansear-SSP022,"8TH NOVEMBER, 2024",,,,
Sealeo (SSP 044),Surging-Sparks,"0,02 €",3118,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Sealeo-SSP044,"8TH NOVEMBER, 2024",,,,
Bronzong (SSP 127),Surging-Sparks,"0,02 €",3170,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Bronzong-SSP127,"8TH NOVEMBER, 2024",,,,
Cetitan (SSP 054),Surging-Sparks,"0,02 €",3185,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Cetitan-V1-SSP054,"8TH NOVEMBER, 2024",,,,
Clobbopus (SSP 112),Surging-Sparks,"0,02 €",3210,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Clobbopus-V1-SSP112,"8TH NOVEMBER, 2024",,,,
Cryogonal (SSP 047),Surging-Sparks,"0,02 €",3240,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Cryogonal-SSP047,"8TH NOVEMBER, 2024",,,,
Excadrill (SSP 109),Surging-Sparks,"0,02 €",3153,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Excadrill-SSP109,"8TH NOVEMBER, 2024",,,,
Zangoose (SSP 149),Surging-Sparks,"0,02 €",3137,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Zangoose-SSP149,"8TH NOVEMBER, 2024",,,,
Stunfisk (SSP 064),Surging-Sparks,"0,02 €",3354,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Stunfisk-V1-SSP064,"8TH NOVEMBER, 2024",,,,
Simisear (SSP 023),Surging-Sparks,"0,02 €",3334,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Simisear-SSP023,"8TH NOVEMBER, 2024",,,,
Oricorio (SSP 026),Surging-Sparks,"0,02 €",3223,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Oricorio-SSP026,"8TH NOVEMBER, 2024",,,,
Klefki (SSP 128),Surging-Sparks,"0,02 €",3178,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Klefki-SSP128,"8TH NOVEMBER, 2024",,,,
Jet Energy (SSP 252),Surging-Sparks,"10,00 €",141,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Jet-Energy-SSP252,"8TH NOVEMBER, 2024",,"12,21 €","12,49 €","12,85 €"
Pikachu ex (SSP 247),Surging-Sparks,"75,99 €",129,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Pikachu-ex-V4-SSP248,"8TH NOVEMBER, 2024",,"98,75 €","91,38 €","85,72 €"
Gravity Mountain (SSP 250),Surging-Sparks,"11,00 €",119,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Gravity-Mountain-V2-SSP250,"8TH NOVEMBER, 2024",,"12,88 €","13,53 €","12,81 €"
Pikachu ex (SSP 238),Surging-Sparks,"249,99 €",192,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Pikachu-ex-V3-SSP238,"8TH NOVEMBER, 2024",,,,
Counter Gain (SSP 249),Surging-Sparks,"8,00 €",126,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Counter-Gain-V2-SSP249,"8TH NOVEMBER, 2024",,"9,33 €","8,52 €","9,42 €"
Hydreigon ex (SSP 240),Surging-Sparks,"49,00 €",162,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Hydreigon-ex-V3-SSP240,"8TH NOVEMBER, 2024",,,,
Clemont's Quick Wit (SSP 243),Surging-Sparks,"13,00 €",137,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Clemonts-Quick-Wit-V3-SSP243,"8TH NOVEMBER, 2024",,,,
Drayton (SSP 244),Surging-Sparks,"11,50 €",159,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Drayton-V3-SSP244,"8TH NOVEMBER, 2024",,,,
Latias ex (SSP 239),Surging-Sparks,"119,00 €",151,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Latias-ex-V3-SSP239,"8TH NOVEMBER, 2024",,,,
Archaludon ex (SSP 241),Surging-Sparks,"16,50 €",144,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Archaludon-ex-V3-SSP241,"8TH NOVEMBER, 2024",,,,
Alolan Exeggutor ex (SSP 248),Surging-Sparks,"14,99 €",143,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Alolan-Exeggutor-ex-V4-SSP247,"8TH NOVEMBER, 2024",,"20,76 €","22,74 €","22,89 €"
Alolan Exeggutor ex (SSP 242),Surging-Sparks,"29,95 €",169,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Alolan-Exeggutor-ex-V3-SSP242,"8TH NOVEMBER, 2024",,,,
Durant ex (SSP 236),Surging-Sparks,"15,00 €",88,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Durant-ex-V3-SSP236,"8TH NOVEMBER, 2024",,,,
Milotic ex (SSP 237),Surging-Sparks,"75,00 €",120,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Milotic-ex-V3-SSP237,"8TH NOVEMBER, 2024",,,,
Jasmine's Gaze (SSP 245),Surging-Sparks,"20,00 €",151,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Jasmines-Gaze-V3-SSP245,"8TH NOVEMBER, 2024",,,,
Lisia's Appeal (SSP 246),Surging-Sparks,"24,00 €",197,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Lisias-Appeal-V3-SSP246,"8TH NOVEMBER, 2024",,,,
Live Code Card (Build & Battle Kit) (SSP),Surging-Sparks,"0,08 €",270,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Build-Battle-Kit-SSP,"8TH NOVEMBER, 2024",,,,
Live Code Card (Elite Trainer Box) (SSP),Surging-Sparks,"0,02 €",170,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Elite-Trainer-Box-SSP,"8TH NOVEMBER, 2024",,,,
Gouging Fire (SSP 038),Surging-Sparks,"0,02 €",795,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Gouging-Fire-V2-SSP038,"8TH NOVEMBER, 2024",,,,
Rabsca (SSP 014),Surging-Sparks,"0,02 €",827,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Rabsca-V2-SSP014,"8TH NOVEMBER, 2024",,,,
Tapu Koko (SSP 065),Surging-Sparks,"0,02 €",455,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Tapu-Koko-V2-SSP065,"8TH NOVEMBER, 2024",,,,
Terapagos (SSP 161),Surging-Sparks,"8,00 €",28,Promo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Terapagos-V2-SSP161,"8TH NOVEMBER, 2024",,,,
Fuecoco (SSP 029),Surging-Sparks,"0,02 €",22,Promo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Fuecoco-V2-SSP029,"8TH NOVEMBER, 2024",,,,
Live Code Card (Zapdos Blister) (SSP),Surging-Sparks,"0,02 €",240,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Zapdos-Blister-SSP,"8TH NOVEMBER, 2024",,,,
Live Code Card (Quagsire Blister) (SSP),Surging-Sparks,"0,02 €",236,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Quagsire-Blister-SSP,"8TH NOVEMBER, 2024",,,,
Quaxly (SSP 050),Surging-Sparks,"0,02 €",20,Promo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Quaxly-V2-SSP050,"8TH NOVEMBER, 2024",,,,
Live Code Card (Wooper Blister) (SSP),Surging-Sparks,"0,04 €",34,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Wooper-Blister-SSP,"8TH NOVEMBER, 2024",,,,
Live Code Card (Pachirisu Blister) (SSP),Surging-Sparks,"0,03 €",30,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Pachirisu-Blister-SSP,"8TH NOVEMBER, 2024",,,,
Live Code Card (Chandelure Blister) (SSP),Surging-Sparks,"0,02 €",40,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Chandelure-Blister-SSP,"8TH NOVEMBER, 2024",,,,
Live Code Card (Pokémon Center Elite Trainer Box) (SSP),Surging-Sparks,"1,00 €",21,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Pokemon-Center-Elite-Trainer-Box-SSP,"8TH NOVEMBER, 2024",,,,
Live Code Card (Alakazam Blister) (SSP),Surging-Sparks,"0,10 €",36,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Live-Code-Card-Alakazam-Blister-SSP,"8TH NOVEMBER, 2024",,,,
Night Stretcher (SFA 061),Shrouded-Fable,"0,02 €",2081,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Night-Stretcher-SFA061,"2ND AUGUST, 2024",,,,
Live Code Card (Booster) (SFA),Shrouded-Fable,"0,02 €",3334,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Live-Code-Card-Booster-SFA,"2ND AUGUST, 2024",,,,
Fezandipiti ex (SFA 038),Shrouded-Fable,"5,49 €",342,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Fezandipiti-ex-V1-SFA038,"2ND AUGUST, 2024",,,,
Duskull (SFA 018),Shrouded-Fable,"0,02 €",5414,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Duskull-V1-SFA018,"2ND AUGUST, 2024",,,,
Dusknoir (SFA 020),Shrouded-Fable,"0,02 €",3348,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Dusknoir-V1-SFA020,"2ND AUGUST, 2024",,,,
Dusclops (SFA 019),Shrouded-Fable,"0,02 €",4575,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Dusclops-V1-SFA019,"2ND AUGUST, 2024",,,,
Pecharunt ex (SFA 039),Shrouded-Fable,"0,30 €",1395,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Pecharunt-ex-V1-SFA039,"2ND AUGUST, 2024",,,,
Colress's Tenacity (SFA 057),Shrouded-Fable,"0,02 €",9521,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Colresss-Tenacity-V1-SFA057,"2ND AUGUST, 2024",,,,
Revavroom ex (SFA 015),Shrouded-Fable,"0,02 €",2091,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Revavroom-ex-V1-SFA015,"2ND AUGUST, 2024",,,,
Okidogi ex (SFA 036),Shrouded-Fable,"0,10 €",1740,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Okidogi-ex-V1-SFA036,"2ND AUGUST, 2024",,,,
Kingdra ex (SFA 012),Shrouded-Fable,"0,05 €",1832,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Kingdra-ex-V1-SFA012,"2ND AUGUST, 2024",,,,
Binding Mochi (SFA 055),Shrouded-Fable,"0,02 €",11317,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Binding-Mochi-SFA055,"2ND AUGUST, 2024",,,,
Munkidori ex (SFA 037),Shrouded-Fable,"0,08 €",2193,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Munkidori-ex-V1-SFA037,"2ND AUGUST, 2024",,,,
Powerglass (SFA 063),Shrouded-Fable,"0,02 €",10584,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Powerglass-V1-SFA063,"2ND AUGUST, 2024",,,,
Sylveon (SFA 022),Shrouded-Fable,"0,02 €",8344,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Sylveon-SFA022,"2ND AUGUST, 2024",,,,
Janine's Secret Art (SFA 059),Shrouded-Fable,"0,02 €",9845,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Janines-Secret-Art-V1-SFA059,"2ND AUGUST, 2024",,,,
Neutralization Zone (SFA 060),Shrouded-Fable,"0,30 €",1217,ACE Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Neutralization-Zone-SFA060,"2ND AUGUST, 2024",,,,
Poké Vital A (SFA 062),Shrouded-Fable,"0,19 €",1322,ACE Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Poke-Vital-A-SFA062,"2ND AUGUST, 2024",,,,
Dangerous Laser (SFA 058),Shrouded-Fable,"0,20 €",1428,ACE Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Dangerous-Laser-SFA058,"2ND AUGUST, 2024",,,,
Haxorus (SFA 046),Shrouded-Fable,"0,02 €",8457,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Haxorus-SFA046,"2ND AUGUST, 2024",,,,
Xerosic's Machinations (SFA 064),Shrouded-Fable,"0,02 €",10229,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Xerosics-Machinations-V1-SFA064,"2ND AUGUST, 2024",,,,
Kyurem (SFA 047),Shrouded-Fable,"0,02 €",9733,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Kyurem-SFA047,"2ND AUGUST, 2024",,,,
Eevee (SFA 050),Shrouded-Fable,"0,02 €",9910,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Eevee-SFA050,"2ND AUGUST, 2024",,,,
Fezandipiti ex (SFA 084),Shrouded-Fable,"6,90 €",244,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Fezandipiti-ex-V2-SFA084,"2ND AUGUST, 2024",752.0,"9,89 €","9,87 €","9,02 €"
Bloodmoon Ursaluna (SFA 025),Shrouded-Fable,"0,02 €",8628,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Bloodmoon-Ursaluna-SFA025,"2ND AUGUST, 2024",,,,
Tapu Bulu (SFA 006),Shrouded-Fable,"0,02 €",9280,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Tapu-Bulu-V1-SFA006,"2ND AUGUST, 2024",,,,
Cresselia (SFA 021),Shrouded-Fable,"0,02 €",8583,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Cresselia-V1-SFA021,"2ND AUGUST, 2024",,,,
Academy at Night (SFA 054),Shrouded-Fable,"0,02 €",10539,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shrouded-Fable/Academy-at-Night-SFA054,"2ND AUGUST, 2024",,,,
